customer_id,name,email,signup_date,region
C1082,Eleanor Cox,eleanor.cox@hotmail.com,2021-04-25,East
C1170,Karen Thomas,karen.thomas@yahoo.com,2021/11/14,
C1233,Rachel Clark,rachel.clark@outlook.com,02-07-2023,  
C1159,Teresa Morris,teresa.morrisgmail.com,2021/06/08,
C1241,Rachel Clark,rachel.clark@hotmail.com,2021-01-06,North
C1048,  Mia Harris  ,mia.harris@outlook.com,2022/04/24,North
C1057,David Brown,david.brown@yahoo.com,2023-01-25,  
C1291,Michael Campbell,michael.campbell@gmail.com,04-08-2021,
C1079,Ethan Baker,ethan.baker@yahoo.com,2021-01-26,
C1214,Whitney Coleman,whitney.coleman@outlook.com,2021/07/29,
C1178,Amy Bailey,amy.bailey@gmail.com,04-12-2021,
C1279,  Emma Davis  ,emma.davis@yahoo.com,12-02-2021,
C1159,Teresa Morris,teresa.morrisgmail.com,2021/06/08,
C1165,George Carter,,2022/11/22,North
C1262,Olivia Garcia,olivia.garcia@gmail.com,2022/11/26,
C1216,Timothy Barnes,timothy.barnes@hotmail.com,2021-10-31,North
C1218,Noah Martin,noah.martin@hotmail.com,13/32/2022,
C1146,Ethan Baker,ethan.baker@outlook.com,2021-03-04,East
C1117,Carlos Green,,2021-03-02,South
C1073,Hannah Mitchell,hannah.mitchell@gmailcom,06-07-2022,
C1118,Xena Morgan,xena.morgan@yahoo.com,13/32/2022,
C1121,Victor Walker,victor.walker@hotmail.com,2021-12-20,East
C1189,Robert Bennett,robert.bennett@yahoo.com,2022-11-02,
C1004,Harold Torres,harold.torres@yahoo.com,13/32/2022,
C1173,Olivia Garcia,olivia.garcia@gmail.com,2023-09-17,
C1282,Amy Bailey,amy.baileygmail.com,2023-07-24,
C1276,Ulysses Rogers,ulysses.rogers@outlook.com,21-09-2021,Central
C1151,CAROL WHITE,carol.white@hotmail.com,2022/08/03,North
C1180,Ethan Baker,ethan.baker@yahoo.com,2021/03/29,
C1271,bella scott,bella.scott@hotmail.com,14-01-2022,
C1233,Brian Rivera,brian.rivera@yahoo.com,29-01-2022,
C1235,Ulysses Rogers,ulysses.rogersgmail.com,07-09-2021,
C1179,Carlos Green,carlos.green@gmail.com,2023-08-31,West
C1081,Christine Cooper,christine.cooper@yahoo.com,21-02-2023,South
